energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
115.6,0.1,0.23496,0.019603520092065098,0.00000326,612.9,,497.3,E2,,,0.954,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
136.7,0.15,0.0006853,0.0000028000000000000003,,1416.9,,1280.2,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
157.82,0.07,22.209,2.8155796916443334,0.000000159,2796.26,,2638.5,E2,,,0.329,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
279.4,0.14,67.3,2.5,0.000000159,2796.26,,2516.9,E2,,,0.0467,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
293.6,0.29,0.00979,0.00004,,1280.2,,986.5,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
373.8,0.2,0.041118,0.009791441364783838,,986.5,0.00000326,612.9,M1+E2,-0.26,6,0.01639,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
430.27,0.3,0.00033286,0.0000013600000000000001,,1416.9,,986.5,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
489.3,0.7,1.2727,0.29374602976040376,,986.5,,497.3,M1+E2,0.040,23,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
497.31,0.08,97.9,0.4,,497.3,,0.0,M1+E2,0.21,2,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
576.5,0.13,7.9779,0.2763353397595031,0.0000000062,1300.21,,723.6,M2,,,0.0190,,51,64,Sb,,1300.21,0.05,11/2-,6.2,,3,ns,0.0000000062,0.0000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
576.5,0.13,7.9414,0.295,0.0000000062,1300.2,,723.6,M2,,,0.0186,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
668.13,0.34,0.00979,0.00004,,1280.2,0.00000326,612.9,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
723.57,0.04,8.076,0.3,,723.6,1926,0.0,M1(+E2),,,,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
723.57,0.04,8.0696,0.27636383627385114,,723.6,1926,0.0,M1(+E2),,,,,51,64,Sb,,1300.21,0.05,11/2-,6.2,,3,ns,0.0000000062,0.0000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
747.7,0.2,0.1958,0.019596336392295372,,1734.0,,986.5,E2 M1,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
782.99,0.09,0.025454,0.00010400000000000001,,1280.2,,497.3,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
804.04,0.25,0.0028391,0.0000116,,1416.9,0.00000326,612.9,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
919.79,0.17,0.011748,0.000048,,1416.9,,497.3,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
986.4,0.2,0.35244,0.019632880583347927,,986.5,,0.0,E2,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1021.1,0.2,0.043076,0.00489816302301179,,1633.8,0.00000326,612.9,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1097.3,0.2,0.028391,0.003917717702949001,,,,,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1121.3,0.2,0.15664,0.009810897002822932,,1734.0,0.00000326,612.9,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1136.3,0.2,0.12727,0.009803800283563513,,1633.8,,497.3,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1207,1,0.040139,0.003919432611998834,,2193.2,,986.5,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1212.1,1,0.008811,0.002937220625012701,,1825.0,0.00000326,612.9,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1216.7,0.11,70.3958,2.615,,2516.9,0.0000000062,1300.2,E2,,,,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1236.6,0.2,0.57761,0.02946466527894047,,1734.0,,497.3,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1243.7,0.3,0.044055,0.003920134691563544,,2230.0,,986.5,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1279.9,0.2,0.28391,0.019614331495108366,,1280.2,,0.0,M1+E2,-2.2,2,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1300.25,0.1,91.528,3.4,0.0000000062,1300.2,1926,0.0,E3,,,,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1300.25,0.1,91.7,0.3,0.0000000062,1300.21,1926,0.0,E3,,,0.0015,,51,64,Sb,,1300.21,0.05,11/2-,6.2,,3,ns,0.0000000062,0.0000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1327.4,0.3,0.023496,0.002938568529063088,,1825.0,,497.3,,,,,,51,64,Sb,,0,,5/2+,32.1,,3,m,1926,18,EC+B+,100,,3030,16,50,65,Sn,1-Sep-2012,JEAN BLACHOT,2025-02-24
1338.23,0.13,29.5447,1.0975,,2638.5,0.0000000062,1300.2,E2,,,,,51,64,Sb,,2796.26,0.09,(19/2)-,159,,3,ns,0.000000159,0.000000003,IT,100,,,,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
