energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
271.251,0.01,86.72,0.009,210996,271.241,14551.2,0.0,(E4),,,0.1390,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
1001.876,0.02,1.23,0.01,0.0000000000133,3285.006,0.0000000000019,2283.12,E2,,,9.16E-5,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
1126.084,0.02,1.23,0.01,0.0000000000019,2283.118,0.00000000000294,1157.018,E2,,,7.12E-5,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
1157.002,0.015,1.23,0.01,0.00000000000294,1157.018,,0.0,E2,,,6.92E-5,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
1157.022,0.015,99.8867,0.003,0.00000000000294,1157.045,,0.0,E2,,,6.92E-5,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
1499.449,0.015,0.909,0.015,0.00000000000003,2656.527,0.00000000000294,1157.045,M1+E2,-0.123,17,9.68E-5,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
2144.33,0.1,0.0037,0.0007,0.000000000000035,3301.47,0.00000000000294,1157.045,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
2150.84,0.022,0.0011,0.0003,0.00000000000015,3307.941,0.00000000000294,1157.045,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
2656.48,0.04,0.1119,0.003,0.00000000000003,2656.527,,0.0,E2,,,0.000643,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
3301.35,0.06,0.0014,0.0004,0.000000000000035,3301.47,,0.0,E2,,,0.000919,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
511,,188.556,,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
0.358,,0.01956333992510649,0.0039060406184579007,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
0.358,,0.00419642986568637,0.0008368386835253361,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
0.422,,0.04917181720248,0.009926490494938824,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
3.688,,0.05557343660840703,0.0014925469688715054,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
3.688,,0.259182284795364,0.007486198478726311,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
3.692,,0.10980722507094849,0.0028988031634024644,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
3.692,,0.5121167452980913,0.014574013252975833,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.013,,0.0999603543001118,0.003348413821375477,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.013,,0.021433333753644476,0.0006808604346366224,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.013,,0.021433333753644476,0.0006808604346366223,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,EC+B+,1.23,0.01,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.013,,0.0999603543001118,0.003348413821375477,,,,,,,,,,21,23,Sc,,0,,2+,4.0420,,25,h,14551.2,9,EC+B+,100,,3652.7,18,20,24,Ca,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.086,,0.6311281497435033,0.01833717746894239,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.091,,1.2450742744989214,0.03565015100518451,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.474,,0.24747109975757578,0.008097171918026487,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24
4.474,,0.24747109975757578,0.008097171918026487,,,,,,,,,,21,23,Sc,,271.241,0.01,6+,58.61,,10,h,210996,360,IT,98.77,0.01,,,21,23,Sc,20-Jun-2023,Jun Chen and Balraj Singh,2025-02-24

