energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
143.2,0.3,2.3,0.3,0.000000059,143.53,235080,0.0,E2,,,0.206,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
147.5,0.22,48,4,0.00000000085,147.46,235080,0.0,M1,,,0.0317,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
358.8,0.3,1.76,0.16,,506.24,0.00000000085,147.46,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
362.2,0.4,0.48,0.24,,506.24,0.000000059,143.53,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
484.2,0.3,0.57,0.1,,990.58,,506.24,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
681.29,0.16,0.67,0.11,,828.67,0.00000000085,147.46,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
685,0.2,0.062,0.007,,828.67,0.000000059,143.53,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
722.9,0.13,2.61,0.21,,870.32,0.00000000085,147.46,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
726.7,0.2,0.12,0.05,,870.32,0.000000059,143.53,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
773.76,0.18,0.105,0.016,,1751.74,,977.89,,,,,,34,37,Se,,0,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,4747,5,33,38,As,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
