energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
415.8,0.6,,,,1847.50,,1431.4,M1(+E2),0.09,18,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
1431.5,0.6,,,,1431.4,,0.0,M1+E2,-0.62,15,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
1642.9,,,,,3490.4,,1847.50,(M1(+E2)),0.9,12,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
1847,0.4,,,,1847.50,,0.0,E2(+M3),-0.03,2,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
2058.9,,,,,3490.4,,1431.4,M1+E2,-0.17,10,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
2195.8,,,,,3627.3,,1431.4,E2(+M3),0.07,7,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
2377.1,,,,,4224.7,,1847.50,(E1(+M2)),0.01,6,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
2537.5,,,,,2537.6,,0.0,(M1+E2),0.16,4,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
2616.3,,,,,4047.8,,1431.4,M1+E2,0.19,4,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
3008.6,,,,,4856.1,,1847.50,,,,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
3200,,,,,5048,,1847.50,M1(+E2),-0.2,7,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
3275.1,,,,,3275.3,,0.0,D+Q,,,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
3342,,,,,5190,,1847.50,,,,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
3758,,,,,5190,,1431.4,D(+Q),0.0,3,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24
4193.4,,,,,4193.7,,0.0,,,,,,14,19,Si,,0,,3/2+,6.11,,21,s,6.11,0.21,B-,100,,5823.0,13,15,18,P,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2025-02-24

