energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
25.69,0.06,0.5348,0.07660496067488058,0.000000000104,104.320,,78.61,E1,,,2.06,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
30.5,0.5,0.573,0.03866833329741534,,,,,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
53.1,0.4,0.01528,0.005732233421625466,,,,,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
61.55,0.06,0.2101,0.011669258759664214,,307.32,0.00000000135,245.734,M1(+E2),0.05,3,7.51,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
63.1,0.5,0.01146,0.0038218843519918287,,,,,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
64.5,0.5,0.00764,0.001530092807642726,,168.99,0.000000000104,104.320,M1+E2,0.11,7,6.62,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
78.65,0.07,0.32088,0.030744157168476744,,78.61,149990069.15723577,0.0,M1+E2,0.64,3,4.34,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
80,0.5,0.03247,0.007647561702922049,,,,,E1,,,0.518,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
84.1,0.5,0.0023302,0.0005735192760492013,,391.38,,307.32,M1+E2,0.11,3,3.06,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
90.1,0.5,0.00955,0.0022941804636950423,,168.99,,78.61,E1,,,0.376,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
104.32,0.005,74.49,1.0398046739652596,0.000000000104,104.320,149990069.15723577,0.0,E1,,,0.253,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
138.3,0.15,0.0955,0.019126160095534073,,307.32,,168.99,E1,,,0.1180,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
141.411,0.011,1.97876,0.028180283887853222,0.00000000135,245.734,0.000000000104,104.320,E1,,,0.1111,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
167.16,0.06,0.037436,0.0008586966868458268,0.00000000135,245.734,,78.61,E2,,,0.395,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
169.1,0.3,0.039728,0.003842584546890283,,168.99,149990069.15723577,0.0,E1,,,0.0686,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
178.3,0.5,0.002674,0.0007645129168300558,,1101.78,,923.18,E1,,,0.0595,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
183.4,0.5,0.00191,0.0003825232019106815,,1107.00,,923.18,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
195.7,0.4,0.008786,0.0007695193304914439,,1107.00,,911.14,E1,,,0.0464,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
203.1,0.2,0.04966,0.011471791490434265,,307.32,0.000000000104,104.320,E1,,,0.0421,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
205.7,0.1,0.02483,0.0008070291196728901,,,,,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
220.1,0.6,0.0021392,0.0005352689043835818,,1096.7,,876.90,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
224.8,0.2,0.002101,0.00042077552210174966,,1101.78,,876.90,E1,,,0.0322,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
228.7,0.6,0.051952,0.0016219494443415923,,307.32,,78.61,M1+E2,1.0,4,0.160,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
230.2,0.2,0.0033234,0.0002696549647234406,,1107.00,,876.90,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
245.73,0.05,3.82,0.04,0.00000000135,245.734,149990069.15723577,0.0,M1+E2,0.281,22,0.1471,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
280,1,0.01528,0.003823349317025584,,,,,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
287.1,0.4,0.0014134,0.00026780926048215737,,391.38,0.000000000104,104.320,E1,,,0.01711,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
307.3,0.3,0.012224,0.0019142842004258407,,307.32,149990069.15723577,0.0,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
426.2,0.2,0.014516,0.0015355415982642737,,817.56,,391.38,E1,,,0.00651,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
460.8,0.13,0.07449,0.007679713536324125,,768.23,,307.32,E1,,,0.00543,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
510.2,0.2,0.013752,0.0022965191050805566,,817.56,,307.32,E1,,,0.00431,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
522.54,0.15,0.16808,0.015381027273885187,,768.23,0.00000000135,245.734,E1,,,0.00409,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
571.8,0.2,0.020246,0.0011654441213546018,,817.56,0.00000000135,245.734,E1,,,0.00335,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
603.8,0.2,0.010696,0.0007721657853077926,,911.14,,307.32,M1,,,0.01452,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
631.2,0.2,0.018336,0.0007877563074961698,,876.90,0.00000000135,245.734,,,,,,62,93,Sm,,0,,3/2-,22.18,,6,m,1330.8,3.6,B-,100,,1627.1,12,63,92,Eu,21-Oct-2019,N. NICA,2025-02-24
