energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10,,,,0.0000062,1892.8,,1880.01,,,,,,50,75,Sn,,1892.8,0.3,(19/2+),6.2,,2,us,0.0000062,0.0000002,IT,100,,,,50,75,Sn,1-Jan-2010,J. KATAKURA,2025-02-24
154,0.3,,,,2462.8,,2308.7,,,,,,50,75,Sn,,2623.5,0.5,(27/2-),0.23,,2,us,0.00000023,0.00000002,IT,,,,,50,75,Sn,1-Jan-2010,J. KATAKURA,2025-02-24
161.3,0.3,,,0.00000023,2624.1,,2462.8,,,,,,50,75,Sn,,2623.5,0.5,(27/2-),0.23,,2,us,0.00000023,0.00000002,IT,,,,,50,75,Sn,1-Jan-2010,J. KATAKURA,2025-02-24
167,0.3,,,0.0000006,2060.1,0.0000062,1893.4,,,,,,50,75,Sn,,2623.5,0.5,(27/2-),0.23,,2,us,0.00000023,0.00000002,IT,,,,,50,75,Sn,1-Jan-2010,J. KATAKURA,2025-02-24
234.7,0.1,0.03492,0.009558932994848326,,,,,,,,,,50,75,Sn,,0,,11/2-,9.64,,3,d,832896,2592,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
258.25,0.1,0.02037,0.0054600000000000004,,2240.73,,1982.86,,,,,,50,75,Sn,,0,,11/2-,9.64,,3,d,832896,2592,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
258.25,0.1,0.02037,0.0054600000000000004,,1349.65,,1089.51,,,,,,50,75,Sn,,0,,11/2-,9.64,,3,d,832896,2592,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
270.6,0.05,0.1067,0.028665721689851105,,2253.40,,1982.86,,,,,,50,75,Sn,,0,,11/2-,9.64,,3,d,832896,2592,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
278.56,0.15,0.022379,0.00584252890450702,,921.57,,642.948,,,,,,50,75,Sn,,27.5,0.14,3/2+,9.52,,5,m,571.2,3,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
282.45,0.05,0.01843,0.005307278021735812,,1349.65,,1067.32,,,,,,50,75,Sn,,0,,11/2-,9.64,,3,d,832896,2592,B-,100,,2361.4,22,51,74,Sb,1-Jan-2010,J. KATAKURA,2025-02-24
