energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
39.41,0.07,28,5,0.0000000205,39.41,,0.0,(E1),,,1.443,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
105,0.04,21.84,3.94,0.000000003,144.41,0.0000000205,39.41,(M1),,,0.1266,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
134.87,0.06,3.08,0.7849203781276162,0.000000003,174.28,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
140.92,0.08,4.48,0.9765244492586962,0.000000003,285.33,0.000000003,144.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
144.41,0.06,3.08,1.5041608956491324,0.000000003,144.41,,0.0,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
167.43,0.06,0.56,0.2973213749463701,0.000000003,452.8,0.000000003,285.33,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
218.98,0.08,5.88,1.3446560898608981,0.000000003,363.42,0.000000003,144.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
245.8,0.08,3.08,1.5041608956491324,0.000000003,285.33,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
308.9,0.3,1.288,0.36235341863986875,0.000000003,452.8,0.000000003,144.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
317.76,0.06,5.04,1.2310970717209915,0.000000003,357.17,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
324.03,0.06,5.32,1.2681088281373962,0.000000003,363.42,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
366.34,0.14,2.24,0.4882622246293481,0.000000003,651.75,0.000000003,285.33,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
413.8,0.2,7.56,1.4615402833996742,0.000000003,452.8,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
612.5,0.2,4.76,1.0178899744078433,0.000000003,651.75,0.0000000205,39.41,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
511,,200,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
1.767,,1.17610032768,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
13.336,,7.818909630896077,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
13.396,,15.050836633101207,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
15.021,,3.664077627242576,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
15.07,,4.089110632002715,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24
15.187,,0.42503300476013883,,,,,,,,,,,38,41,Sr,,0,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,5323,8,37,42,Rb,31-May-2016,BALRAJ SINGH,2025-02-24

