energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
117,,0.066,0.006,,1058.62,,942.09,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
124.1,0.05,33,3.1591296269700617,,124.10,1557,0.0,E2,,,1.548,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
130,,0.0825,0.0075,,1160.72,,1030.93,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
183,,0.033,0.003,,1058.62,,875.94,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
226,,0.132,0.012,,1284.64,,1058.62,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
261.85,0.05,20.856,1.9868699001192807,,385.92,,124.10,E2,,,0.1201,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
285,,0.066,0.006,,1160.72,,875.94,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
370.62,0.08,0.627,0.08720665112249179,,1401.54,,1030.93,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
371.36,0.06,1.32,0.17839282496782205,,757.27,,385.92,E2,,,0.0426,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
380.88,0.08,0.561,0.08340863264674706,,1411.82,,1030.93,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
390.65,0.1,0.1089,0.014000714267493641,,1551.38,,1160.72,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
403,,0.033,0.003,,1160.72,,757.27,,,,,,73,95,Ta,,0,,(2- 3+),2.0,,1,m,120,6,EC+B+,100,,6967,40,72,96,Hf,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
