energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
45.1,0.3,,,,45.1,39,0.0,[M1],,,3.19,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
223.3,0.3,,,,1474.0,,1250.7,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
294.8,0.3,,,,787.9,,493.1,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
309.2,0.3,,,,354.3,,45.1,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
340.5,0.3,,,,493.1,110,152.6,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
362.4,0.3,,,,407.5,,45.1,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
380.3,0.3,,,,787.9,,407.5,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
407.5,0.3,,,,407.5,39,0.0,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
433.7,0.3,,,,787.9,,354.3,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
462.8,0.3,,,,1250.7,,787.9,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24
686.1,0.3,,,,1474.0,,787.9,,,,,,65,78,Tb,,0,,(11/2-),12,,1,s,12,1,EC+B+,100,,7812,207,64,79,Gd,31-May-2011,E. BROWNE and  J. K. TULI,2025-02-24

