energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
135.3,0.8,0.178,0.08920201791439475,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
150.8,0.7,0.445,0.09025519375637062,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
153.4,0.8,0.267,0.08945389874119518,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
160.4,0.3,1.869,0.36153146474408004,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
163.2,0.8,0.356,0.08980534505250787,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
170,0.7,0.267,0.08945389874119518,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
176.8,0.4,0.623,0.1792344832893492,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
179.1,0.7,0.445,0.17863090438107287,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
219,0.6,0.356,0.1784040358287895,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
245.5,0.6,0.445,0.17863090438107287,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
272,1,0.178,0.08920201791439475,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
277.1,1,0.267,0.08945389874119518,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
280.8,1,0.178,0.08920201791439475,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
285.5,0.5,0.356,0.2672695268825086,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
294.9,0.5,0.623,0.3566188441459593,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
298.6,0.2,0.1068,0.026941603515752362,,2269.0,,1970.4,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
314.7,0.3,0.1869,0.04494374261229254,,2285.1,,1970.4,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
333.8,0.3,0.6319,0.0915133323620116,,2619.0,,2285.1,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
349.1,0.3,0.089,0.044601008957197374,,2429.8,,2080.8,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
349.3,0.1,2.492,0.2799017684831591,,1242.4,,893.1,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
353.7,0.3,0.979,0.1810331461362808,,1242.4,,888.5,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
358,0.1,89,3,,358.02,,0.0,E2,,,0.01502,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
407.1,0.7,0.267,0.08945389874119518,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
413.2,0.2,0.1157,0.04467057196857905,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
421.8,0.8,0.267,0.08945389874119518,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
459.6,0.2,0.1068,0.026941603515752362,,2429.8,,1970.4,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
475,0.2,0.2492,0.07169379331573968,,2760.0,,2285.1,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
511.6,0.3,0.1424,0.03592213802100315,,2481.9,,1970.4,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
519.4,0.1,0.89,0.09392017887546851,,2034.8,,1515.4,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
527.2,0.2,0.3916,0.07241325845451232,,1515.4,,988.3,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
530.5,0.1,15.575,1.1900626033953003,,888.5,,358.02,E2,,,0.00455,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
535.1,0.1,14.685,1.1771359309782365,,893.1,,358.02,M1+E2,-36,10,0.00444,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
542.7,0.6,0.267,0.009000000000000001,,,,,,,,,,43,61,Tc,,0,,(3+),18.3,,3,m,1098,18,B-,100,,5597,25,44,60,Ru,30-Mar-2007,JEAN BLACHOT,2025-02-24
