energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
228.22,0.1,0.768,0.09600307195084958,0.000000000005,1326.9,,1098.6,[M1 E2],,,0.078,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
280.3,0.3,84.2,0.4,0.0000075,280.05,348,0.0,M2,,,0.187,,52,63,Te,,280.05,0.2,11/2-,7.5,,2,us,0.0000075,0.0000002,IT,100,,,,52,63,Te,1-Sep-2012,JEAN BLACHOT,2025-02-24
281.96,0.03,0.992,0.09600512519652271,0.000000000005,1380.6,,1098.6,[M1 E2],,,0.041,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
303.1,0.4,2.7,0.9004049089159832,,,,,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
374.48,0.06,3.168,0.22402240116559774,,1755.0,0.000000000005,1380.6,M1+E2,0.24,2,0.0179,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
386.3,0.3,0.224,0.0640003919987995,,,,,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
405.9,0.5,2.4,0.9003199431313292,,1504.2,,1098.7,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
428.22,0.08,1.088,0.128004623916482,,1755.0,0.000000000005,1326.9,M1+E2,0.28,7,0.0127,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
548.7,0.2,3.6,0.6010790297456733,,2764.0,,2215.1,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
555.7,0.3,1.65,0.3603779266270341,,2659.9,,2104.4,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
568.39,0.06,2.784,0.32001211017084963,,2323.4,,1755.0,M1,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
570,1.4,2.1,1.5001469927977058,,2074.4,,1504.2,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
576.8,0.4,0.1664,0.048000288425800106,0.0000000062,1300.3,,723.6,M2,,,0.0190,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
603.27,0.05,4.416,0.12807615334635875,0.000000000005,1326.9,,723.6,M1,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
610.6,0.2,3.9,0.6012661640238872,,,,,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
634.06,0.15,0.928,0.09600448522855587,,2389.1,,1755.0,(E2),,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
657.01,0.05,6.816,0.1921209459064784,0.000000000005,1380.6,,723.6,M1+E2,-0.07,4,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
689.4,0.3,3.9,0.9008446036914469,,2764.0,,2074.4,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
723.57,0.04,30.08,0.03008,,723.6,1926,0.0,M1(+E2),,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
723.6,0.1,18,0.18,,723.6,,0.0,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
770.4,0.1,34.2,1.2477836350906355,,770.4,,0.0,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
780.5,0.4,2.1,0.6003673875220072,,1504.2,,723.6,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
804,0.4,0.224,0.0640003919987995,,,,,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
921.3,0.3,0.416,0.0960009013291021,,,,,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
942.87,0.12,1.824,0.1280129953403169,,2323.4,0.000000000005,1380.6,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
996.61,0.15,1.12,0.12800489990621453,,2323.4,0.000000000005,1326.9,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1012.3,0.4,1.664,0.1280108155430626,,1736.0,,723.6,(M1+E2),,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1022.8,0.3,0.736,0.09600282129187664,,2323.4,0.0000000062,1300.3,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1031.9,0.2,7.8,0.9033736768358928,,,,,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1051.4,0.5,0.32,0.09600053333185186,,,,,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1061.6,0.4,0.608,0.0960019253140269,,2389.1,0.000000000005,1326.9,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1071.7,0.3,12.9,0.9091979982380075,,1071.7,,0.0,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1071.7,0.3,0.24,0.00024,,1071.7,1926,0.0,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1088.4,0.3,0.8,0.1280024999755864,,2389.1,0.0000000062,1300.3,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1098.62,0.05,16.32,0.960138709978928,,1098.6,1926,0.0,M1(+E2),,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1098.7,0.1,9,0.09,,1098.7,,0.0,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1115.3,0.6,2.1,0.9002449666618525,,2215.1,,1098.7,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1143.4,0.5,1.5,0.9001249913206498,,2215.1,,1071.7,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1155.7,0.4,2.7,0.9004049089159832,,2659.9,,1504.2,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1184.9,0.8,0.6,0.3000599940011997,,,,,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1205.5,0.4,3.3,0.9006047967893576,,2709.8,,1504.2,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1213.6,0.3,0.608,0.0960019253140269,,1937.2,,723.6,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1224.5,0.2,0.768,0.09600307195084958,,2323.4,,1098.6,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1279.3,0.2,10.2,1.2043271980653762,,,,,,,,,,52,63,Te,,20,,(1/2)+,6.7,,4,m,402,24,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1290.5,0.12,5.888,0.35204924164667645,,2389.1,,1098.6,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1300.3,0.2,2.432,0.19201540204889816,0.0000000062,1300.3,1926,0.0,E3,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
1315.5,0.8,0.128,0.06400012799987201,,2389.1,,1071.7,,,,,,52,63,Te,,0,,7/2+,5.8,,2,m,348,12,EC+B+,100,,4941,32,51,64,Sb,1-Sep-2012,JEAN BLACHOT,2025-02-24
