energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10,,,,,10.0,,0,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
18.6,,,,,18.52,,0,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
33.1,,,,,51.79,,18.52,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
174.8,0.2,0.152,0.07912016177940993,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
292.9,0.1,0.296,0.14805404418657397,,344.69,,51.79,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
406.1,0.1,0.298,0.15160804727981955,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
417,0.1,2,1,,468.79,,51.79,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
450.4,0.2,0.3,0.16999999999999998,,468.79,,18.52,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
468.7,0.2,0.496,0.2500559937294045,,468.79,,0,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
484.2,0.2,0.38,0.20615528128088303,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
644.9,0.2,0.56,0.2863564212655271,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
696.1,0.2,0.642,0.32301238366353696,,747.90,,51.79,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
704,0.2,0.542,0.2731245137295442,,755.75,,51.79,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
708.3,0.2,0.516,0.26023066690918656,,727.01,,18.52,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
727.2,0.2,0.866,0.4348436500628703,,727.01,,0,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
729.5,0.2,0.456,0.23052114870440846,,747.90,,18.52,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
737,0.5,0.2,0.116619037896906,,755.75,,18.52,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
747.8,0.2,0.43,0.21736835096213983,,747.90,,0,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
837.8,0.2,0.274,0.13983204210766573,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24
932.8,0.2,0.42,0.21242410409367388,,,,,,,,,,90,145,Th,,0,,(1/2+),7.2,,1,m,432,6,B-,100,,1729,19,91,144,Pa,1-Feb-2014,E. BROWNE and  J. K. TULI,2025-02-24

