energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
61.7,,11,3,,174.8,,113.2,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
113.1,0.4,14,1,,113.2,,0.0,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
174.8,0.4,31,2,,174.8,,0.0,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
744,0.4,2.3,0.4,,2475.6,,1731.9,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
1557.3,0.5,2.2,0.5,,1731.9,,174.8,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
1579.4,0.4,16,2,,1754.3,,174.8,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
1732.2,0.6,1.2,0.2,,1731.9,,0.0,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
1861.5,0.4,14,2,,2036.3,,174.8,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
1922.9,0.5,2.6,0.5,,2036.3,,113.2,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
2003.7,0.6,1.8,0.5,,,,,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
2114.6,0.5,0.7,0.3,,,,,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24
2300.4,0.4,5,0.5,,2475.6,,174.8,,,,,,22,35,Ti,,0,,(5/2-),98,,5,ms,0.098,0.005,B-,100,,10030,220,23,34,V,12-APR-2010,BALRAJ SINGH,2025-02-24

