energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
83,30,1.9792,0.3958404547289223,,1275,,1192,[E2],,,14,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
97,30,3.9584,1.9792003637833133,,1192,0.0000000006,1096,[E2],,,7.2,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
296,3,79.168,9.89602910262495,0.0000000006,1096,,799.6,E2,,,0.120,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
356,10,3.9584,1.9792003637833133,,,,,(M1),,,0.268,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
382,10,2.9688,1.979200204628122,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
480,20,1.9792,0.9896001818916567,,4102,,3622,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
670,20,1.9792,0.9896001818916567,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
799.6,0.3,98.96,0.03,,799.6,,0.0,E2,,,0.01041,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
860,30,6.9272,1.979201114086186,,3069,,2208,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
910,30,2.9688,1.979200204628122,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1070,10,11.8752,4.948001309619875,,1869,,799.6,[E1],,,0.00222,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1110,20,6.9272,1.979201114086186,,2208,0.0000000006,1096,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1210,20,16.8232,3.9584032854169875,,3622,,2412,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1316,13,20.7816,4.948004010709773,,2412,0.0000000006,1096,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1410,20,4.948,1.9792005684113978,,2208,,799.6,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1490,20,1.9792,0.9896001818916567,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1540,30,1.9792,0.9896001818916567,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1590,30,1.9792,0.9896001818916567,,3458,,1869,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1650,30,1.9792,0.9896001818916567,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
2010,30,6.9272,1.979201114086186,,3879,,1869,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
2090,30,4.948,1.9792005684113978,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
2270,13,2.9688,1.979200204628122,,3069,,799.6,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
2360,30,7.9168,2.9688009700887665,,3458,0.0000000006,1096,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
2430,30,8.9064,2.9688012277685414,,3622,,1192,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
12.522,,19.39859473742208,4.579036278333618,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
72.805,,2.5369346181029955,0.36572828483426284,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
74.97,,4.263755660677303,0.6144082595137619,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
84.986,,1.4572907740243495,0.2110945933754137,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
86.022,,1.897392587779703,0.2747485575601443,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
87.301,,0.44010181375535357,0.06416562341506106,,,,,,,,,,81,129,Tl,,0,,(5+),1.30,,3,m,78,1.8,B-,100,,5481,12,82,128,Pb,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24

