energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
66.9,0.1,7.1,1,,66.90,1302,0.0,M1(+E2),0.4,4,10.7,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,IT,82.5,3.4,,,69,93,Tm,19-Sep-2023,N. NICA,2025-02-24
102,0.03,,,,102.00,,0.0,E2,,,2.73,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
102,0.03,17.5,1.6,0.000000001389,102.04,,0.0,E2,,,2.73,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
125,,,,24.3,X,,66.90,[E3],,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,IT,82.5,3.4,,,69,93,Tm,19-Sep-2023,N. NICA,2025-02-24
178.6,0.3,0.028,0.008,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
227.52,0.03,,,,329.53,,102.00,E2,,,0.1647,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
227.52,,,,,1128.50,,900.66,[E2],,,0.1647,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
227.52,0.03,7.1,0.6,,329.61,0.000000001389,102.04,E2,,,0.1647,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
337.51,0.18,0.085,0.016,,667.12,,329.61,(E2),,,0.0486,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
337.52,0.18,,,,667.03,,329.53,(E2),,,0.0486,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
345.4,0.6,,,,,,,,,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
354.6,0.6,,,,,,,,,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
380.2,0.5,0.071,0.016,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
418.1,0.2,0.047,0.008,,1420.45,,1002.12,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
424.6,0.5,0.021,0.014,,1931.33,,1506.36,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
432.5,0.4,0.05,0.022,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
452,,,,,1352.18,,900.74,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
453,0.6,,,,,,,,,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
453.02,0.08,0.37,0.05,,1805.21,,1352.18,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
461.5,0.2,,,,1128.50,,667.03,[E2],,,0.02027,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
465.11,0.1,0.249,0.03,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
477.9,0.6,,,,,,,,,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
488.8,1,0.05,0.015,,2061.35,,1572.90,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
499.2,0.6,0.142,0.019,,1500.58,,1002.12,[M1 E2],,,0.0258,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
499.2,0.6,0.142,0.019,,1856.69,,1356.77,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
519.54,0.13,0.59,0.06,,1420.45,,900.74,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
524.02,0.2,0.078,0.029,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
533.7,0.4,0.05,0.015,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
570.74,0.05,1.95,0.23,,1572.90,,1002.12,E1,,,0.00419,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
571.2,0.4,0.19,0.14,,900.74,,329.61,[E2],,,0.01177,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
571.2,0.4,,,,900.66,,329.53,[E2],,,0.01177,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
583,1,,,,1712.09,,1128.5,[M1 E2],,,0.017,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
634.5,0.5,0.17,0.016,,1805.21,,1171.02,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
640,0.4,0.099,0.023,,2061.35,,1420.45,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
645.71,0.16,0.135,0.018,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
672.33,0.1,5.5,0.6,,1572.90,,900.74,E1,,,0.00297,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
672.35,0.05,,,,1001.90,,329.53,(M1 E2),,,0.012,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
672.4,0.1,1.84,0.2,,1002.12,,329.61,(M1 E2),,,0.0122,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
695.2,0.3,0.092,0.016,,2318.67,,1623.23,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
709.99,0.15,,,,1712.09,,1001.90,[M1 E2],,,0.011,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
711,0.7,0.064,0.022,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
713.2,0.7,,,,,,,,,,,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
716.5,0.4,0.09,0.04,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
720.1,0.3,0.149,0.031,,2449.77,,1729.64,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
733.4,0.5,0.028,0.015,,2598.14,,1864.88,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
733.4,0.5,0.028,0.015,,2664.46,,1931.33,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
736.6,0.4,0.057,0.015,,1864.88,,1128.02,[E2],,,0.00648,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
743.6,0.5,0.057,0.015,,,,,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
759.6,0.4,0.099,0.023,,2260.24,,1500.58,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
759.6,0.4,0.099,0.023,,1931.33,,1171.02,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
764.4,0.5,0.23,0.06,,2121.62,,1356.77,,,,,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
798,1,0.77,0.13,,1128.02,,329.61,[E2],,,0.00542,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
798,1,,,,1128.50,,329.53,E2,,,0.00542,,69,93,Tm,X,,,5+,24.3,,17,s,24.3,1.7,EC+B+,17.5,3.4,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
798.68,0.05,8.4,0.8,,900.74,0.000000001389,102.04,E2,,,0.00541,,69,93,Tm,,0,,1-,21.70,,19,m,1302,11.4,EC+B+,100,,4857,26,68,94,Er,19-Sep-2023,N. NICA,2025-02-24
