energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
72.2,0.04,0.6,0.04,0.000000000395,72.20,1834.2,0.0,E2,,,53.5,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
81,0.5,0.00048,0.00011,,307.5,,226.43,(E1),,,0.208,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
154.23,0.03,0.125,0.007,,226.43,0.000000000395,72.20,(E2),,,1.83,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
158.18,0.03,0.07,0.005,,230.37,0.000000000395,72.20,E1,,,0.167,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
221,0.5,0.00005,0.00001,,447.3,,226.43,[E2],,,0.470,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
223.9,0.3,0.00024,0.00006,,450.5,,226.43,[E1],,,0.0729,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
230.37,0.05,0.122,0.006,,230.37,1834.2,0.0,E1,,,0.0683,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
235.3,0.1,0.0117,0.0008,,307.5,0.000000000395,72.20,(E1),,,0.0651,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
539,1,0.000035,0.000015,,847.8,,307.5,[E1],,,0.0109,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
574.8,0.3,0.0003,0.00004,,805.2,,230.37,[E1],,,0.00964,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
617,1,0.00004,0.00002,,847.8,,230.37,[E1],,,0.0084,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
15.784,,11.198046188102978,0.8672336953807589,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
89.954,,0.01324383903814634,0.0005452830775014444,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
93.347,,0.021423227172672824,0.0008777846140522963,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
105.566,,0.007623124507091125,0.000330138019115102,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
106.894,,0.010192117465980834,0.00043974575814561547,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24
108.58,,0.002568992958889709,0.00011760447373282773,,,,,,,,,,92,138,U,,0,,0+,20.23,,2,d,1747872,1728,A,100,,5992.5,5,90,136,Th,1-Feb-1996,Y. A. AKOVALI,2025-02-24

