energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
801.1,1,100,0,0.00102,801.1,,0.0,[M3],,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24
889,,0.0039,0.0004,0.00000000000517,889.286,,0.0,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
1722,,0.0039,0.0004,0.000000000000076,2611.0,0.00000000000517,889.286,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
4317,,0.0113,0,0.0000000000000027,4315.8,,0.0,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
511,,199.8014,,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
0.477,,0.000473836467437022,0.00009448264832466095,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
0.536,,0.000526044414,0.00010380418915217374,,,,,,,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24
4.505,,0.005947938727910752,0.0001355035467891257,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
4.511,,0.011717767391471144,0.00026063649785240195,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
4.945,,0.006439609000305949,0.0001592546948550833,,,,,,,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24
4.947,,0.002340706060818101,0.00006088284123987528,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
4.947,,0.002340706060818101,0.000060882841239875283,,,,,,,,,,23,23,V,,0,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,7052.37,16,22,24,Ti,15-Jul-2000,S. -C. WU,2025-02-24
4.952,,0.012668914027751227,0.00030704988722992646,,,,,,,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24
5.444,,0.002549076971942827,0.00006880221784025526,,,,,,,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24
5.444,,0.002549076971942827,0.00006880221784025526,,,,,,,,,,23,23,V,,801.46,0.1,3+,1.02,,7,ms,0.00102,0.00007,IT,100,,,,23,23,V,15-Jul-2000,S. -C. WU,2025-02-24

