energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
315,0.7,63,13,,,,,,,,,,39,53,Y,X,0,,J,4.2,,+8-6,us,0.0000042,0.0000007,IT,100,,,,39,53,Y,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
448.5,0.1,2.3352,0.25888136278998536,0.000000000088,1382.99,,934.49,E2,,,0.00583,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
492,0.7,78,16,,,,,,,,,,39,53,Y,X,0,,J,4.2,,+8-6,us,0.0000042,0.0000007,IT,100,,,,39,53,Y,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
492.6,0.1,0.48511,0.053948985161910136,,2339.92,,1847.32,(E1(+M2)),0.009,LE,0.001344,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
561.1,0.1,2.4047,0.264387991406569,0.000000000102,1495.60,,934.49,E2,,,0.00299,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
844.3,0.1,1.251,0.14368214920441577,,2339.92,0.000000000102,1495.60,(E1(+M2)),0.02,LE,0.000403,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
912.8,0.3,0.6255,0.08070693898296478,,1847.32,,934.49,(M1(+E2)),0.00,3,0.000819,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
934.47,0.07,13.9,1.544524522304518,,934.49,,0.0,E2,,,0.000786,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
972.3,0.2,0.06811,0.009427587178064174,,2819.68,,1847.32,(M1(+E2)),0.01,2,0.000715,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1132.4,0.1,0.24325,0.027410702289434322,,2066.90,,934.49,(M1+E2),-3.2,5,0.000510,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1383,,,,0.000000000088,1382.99,,0.0,E0,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1405.4,0.1,4.7816,0.5340350643918431,,2339.92,,934.49,(E1),,,0.000330,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1847.3,0.1,0.36001,0.040352032166918184,,1847.32,,0.0,E2,,,0.000422,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1885.1,0.3,0.0278,0.004914153029770237,,2819.68,,934.49,(E2+M1),,,0.000419,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1988.6,1.2,0.006116,0.002162038158775187,,3371.4,0.000000000088,1382.99,(E1),,,0.000702,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2067,,0.00139,0.00013,,2066.90,,0.0,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2105.6,0.3,0.019043,0.003185410805531996,,3040.1,,934.49,D(+Q),-0.04,7,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2339.9,0.1,0.014317,0.0037240496774344997,,2339.92,,0.0,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2437,0.8,0.003058,0.0014191180359645918,,3371.4,,934.49,(E1(+M2)),,,0.00073,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2473.4,0.5,0.002641,0.0025141624848048307,,2473.4,,0.0,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2819.8,0.3,0.00417,0.001310382005370953,,2819.68,,0.0,E2,,,0.000785,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
3263.9,0.9,0.001112,0.0004297731959999367,,3264.0,,0.0,E2,,,0.000956,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
3371.2,0.6,0.003058,0.0005056530431036681,,3371.4,,0.0,(E1),,,0.001448,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
2.161,,0.0011271487247656398,0.00006910543772948971,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
15.691,,0.006386786525088117,0.000395821362824906,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
15.775,,0.012223514880551421,0.0007552918228504696,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
17.736,,0.003114708385341766,0.0001946117412637395,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
17.824,,0.003569455809601664,0.0002224806512202623,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
17.968,,0.00045474742425989786,0.00003240141406425761,,,,,,,,,,39,53,Y,,0,,2-,3.54,,1,h,12744,36,B-,100,,3643,9,40,52,Zr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24

