energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
57,2,,,0.00002,2448+Z,,2391+Z,[E2],,,32,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
57.1,0.2,11,3,,1791.2+X,,1734.7+X,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
90,0.5,5,1,,,,,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
108.4,0.1,,,,108.4+Y,,0.0+Y,(M1),,,2.46,,70,81,Yb,,0,,(1/2+),1.6,,1,s,1.6,0.1,EC+B+,100,,9229,301,69,82,Tm,20-Nov-2008,BALRAJ SINGH,2025-02-24
172.2,0.4,5,2,,2165.4+Z,,1993.2+Z,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
202,0.4,5,2,,1993.2+Z,,1791.2+Z,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
203.4,0.5,88,8,,1734.7+X,,1531.3+X,E1,,,0.0531,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
208,,,,,1786,,1579,,,,,,70,81,Yb,,0,,(1/2+),1.6,,1,s,1.6,0.1,ECP,0,,9000,300,68,82,Er,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2025-02-24
226,0.4,6,1,,2391+Z,,2165.4+Z,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
259.4,0.3,20,3,,1791.2+X,,1531.3+X,,,,,,70,81,Yb,Z,2448,,(27/2-),20,,1,us,0.00002,0.000001,IT,100,,,,70,81,Yb,20-Nov-2008,BALRAJ SINGH,2025-02-24
