energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
34.5,0.1,5,1.3,0.00000001,34.5,0.6,0.0,[M1],,,1.394,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
42,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
49,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
60,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
72,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
85,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
140.7,0.3,0.7,0.4,0.000000089,140.7,0.6,0.0,[E2],,,0.193,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
163.3,0.2,1.72,0.24,,529.7,,366.3,[M1+E2],,,0.065,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
168,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
247,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
340,,,,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
366.3,0.2,11,3,,366.3,0.6,0.0,[M1 E2],,,0.0043,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
530,0.5,4.9,1.3,,529.7,0.6,0.0,[M1 E2],,,0.0014,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
2612.9,1.1,5.7,2.5,,2978.6,,366.3,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
2943.8,0.4,12,3,,2978.6,0.00000001,34.5,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
2978.7,0.6,1.2,1,,2978.6,0.6,0.0,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1.127,,0.111465887052,0.026086501153039898,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
9.225,,0.9905699539247107,0.2481333418847515,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
9.252,,1.9249318964724265,0.4820961368574593,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
10.306,,0.42225508906845216,0.10580986218839256,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
10.313,,0.42478861960286285,0.10644283692279015,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
10.365,,0.002533530534410713,0.0008967829895003713,,,,,,,,,,30,52,Zn,,0,,0+,166,,11,ms,0.166,0.011,B-,100,,10617,4,31,51,Ga,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24

