energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
108.3,0.2,0.122,0.06797793759742936,,781.57,,672.93,M1 E2,,,0.5,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
119.3,0.1,10.98,2.962836478781777,0.000000000084,119.36,7.1,0.0,M1(+E2),0.33,LT,0.162,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
124.4,0.2,0.305,0.09667471230885562,0.000000000025,722.13,,597.71,,,,,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
135.8,0.1,1.0553,0.2713461626778606,0.000000000035,255.16,0.000000000084,119.36,M1(+E2),1.05,LT,0.17,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
137.9,0.2,0.122,0.06797793759742936,0.000000000024,346.20,0.0000000008,208.40,,,,,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
140.6,0.1,1.891,0.4807379743685743,0.000000000024,346.20,0.00000000183,205.60,M1+E2,0.25,LT,0.096,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
165.7,0.1,0.305,0.1432096365472659,0.000000000019,374.01,0.0000000008,208.40,,,,,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
183.6,0.4,0.183,0.0758023746329889,,781.57,,597.71,,,,,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
186,0.1,0.305,0.09667471230885562,0.000000000013,532.23,0.000000000024,346.20,M1 E2,,,0.08,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
205.7,0.1,6.1,1.5306942869168878,0.00000000183,205.60,7.1,0.0,E1 M1,,,0.024,,40,61,Zr,,0,,(3/2+),2.3,,1,s,2.3,0.1,B-,100,,5731,9,41,60,Nb,1-Jul-2006,JEAN BLACHOT,2025-02-24
