# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL-2025_Ra226_Gamma_Data
# 计算时间: 2025-11-20T03:07:22
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp088225.tot	8.929687e-05	6.093141e-02	53
rp088224.tot	8.079628e-05	5.513106e-02	53
rp088226.tot	2.068349e-06	1.411331e-03	53
rp088223.tot	1.300178e-06	8.871720e-04	53
rp087225.tot	3.213911e-09	2.193001e-06	53
rp088222.tot	2.093323e-09	1.428372e-06	53
rp087224.tot	2.737689e-10	1.868053e-07	53
rp087224.L00	1.454110e-10	9.922067e-08	53
rp087224.L01	1.283579e-10	8.758457e-08	53
rp086221.tot	7.049362e-11	4.810108e-08	53
rp086222.tot	3.119224e-11	2.128392e-08	53
rp086220.tot	4.113371e-12	2.806744e-09	53
rp087223.tot	2.311210e-12	1.577046e-09	53
rp087222.tot	8.397269e-14	5.729848e-11	53
rp086219.tot	3.104363e-15	2.118251e-12	53
rp084218.tot	4.173910e-17	2.848053e-14	53
rp084216.tot	1.858561e-17	1.268183e-14	53
rp084217.tot	1.187917e-18	8.105714e-16	53
rp085221.tot	8.115692e-20	5.537714e-17	53
rp087221.tot	7.071509e-20	4.825220e-17	53
rp086223.tot	1.596329e-20	1.089250e-17	53
rp086218.tot	5.931465e-21	4.047314e-18	53
rp085219.tot	4.488877e-21	3.062970e-18	53
rp086224.tot	2.535656e-21	1.730196e-18	53
rp082214.tot	2.268375e-27	1.547818e-24	53
rp083215.tot	2.268375e-27	1.547818e-24	53
rp083217.tot	2.268375e-27	1.547818e-24	53
rp082212.tot	1.093669e-27	7.462612e-25	53
rp082213.tot	1.093669e-27	7.462612e-25	53
rp083215.L00	7.553161e-31	5.153874e-28	53
rp083215.L09	1.094316e-36	7.467025e-34	53
rp076186.tot	0.000000e+00	0.000000e+00	53
rp076187.tot	0.000000e+00	0.000000e+00	53
rp076188.tot	0.000000e+00	0.000000e+00	53
rp076189.L00	0.000000e+00	0.000000e+00	53
rp076189.L01	0.000000e+00	0.000000e+00	53
rp076189.tot	0.000000e+00	0.000000e+00	53
rp076190.L00	0.000000e+00	0.000000e+00	53
rp076190.L32	0.000000e+00	0.000000e+00	53
rp076190.tot	0.000000e+00	0.000000e+00	53
rp076191.L00	0.000000e+00	0.000000e+00	53
rp076191.L01	0.000000e+00	0.000000e+00	53
rp076191.tot	0.000000e+00	0.000000e+00	53
rp076192.L00	0.000000e+00	0.000000e+00	53
rp076192.L47	0.000000e+00	0.000000e+00	53
rp076192.tot	0.000000e+00	0.000000e+00	53
rp076193.tot	0.000000e+00	0.000000e+00	53
rp076194.tot	0.000000e+00	0.000000e+00	53
rp076195.L00	0.000000e+00	0.000000e+00	53
rp076195.L02	0.000000e+00	0.000000e+00	53
rp076195.tot	0.000000e+00	0.000000e+00	53
rp076196.tot	0.000000e+00	0.000000e+00	53
rp076197.tot	0.000000e+00	0.000000e+00	53
rp076198.tot	0.000000e+00	0.000000e+00	53
rp076199.tot	0.000000e+00	0.000000e+00	53
rp076200.tot	0.000000e+00	0.000000e+00	53
rp076201.tot	0.000000e+00	0.000000e+00	53
rp076202.tot	0.000000e+00	0.000000e+00	53
rp076203.tot	0.000000e+00	0.000000e+00	53
rp076204.tot	0.000000e+00	0.000000e+00	53
rp077188.tot	0.000000e+00	0.000000e+00	53
rp077189.tot	0.000000e+00	0.000000e+00	53
rp077190.L00	0.000000e+00	0.000000e+00	53
rp077190.L02	0.000000e+00	0.000000e+00	53
rp077190.L37	0.000000e+00	0.000000e+00	53
rp077190.tot	0.000000e+00	0.000000e+00	53
rp077191.L00	0.000000e+00	0.000000e+00	53
rp077191.L03	0.000000e+00	0.000000e+00	53
rp077191.L72	0.000000e+00	0.000000e+00	53
rp077191.tot	0.000000e+00	0.000000e+00	53
rp077192.L00	0.000000e+00	0.000000e+00	53
rp077192.L03	0.000000e+00	0.000000e+00	53
rp077192.L15	0.000000e+00	0.000000e+00	53
rp077192.tot	0.000000e+00	0.000000e+00	53
rp077193.L00	0.000000e+00	0.000000e+00	53
rp077193.L02	0.000000e+00	0.000000e+00	53
rp077193.tot	0.000000e+00	0.000000e+00	53
rp077194.L00	0.000000e+00	0.000000e+00	53
rp077194.L38	0.000000e+00	0.000000e+00	53
rp077194.tot	0.000000e+00	0.000000e+00	53
rp077195.L00	0.000000e+00	0.000000e+00	53
rp077195.L02	0.000000e+00	0.000000e+00	53
rp077195.tot	0.000000e+00	0.000000e+00	53
rp077196.L00	0.000000e+00	0.000000e+00	53
rp077196.L04	0.000000e+00	0.000000e+00	53
rp077196.tot	0.000000e+00	0.000000e+00	53
rp077197.L00	0.000000e+00	0.000000e+00	53
