Y	Z	Value
-10	-8.18182	0
-10	-7.87879	0
-10	-7.57576	0
-10	-4.54545	0
-9.79798	-10	0
-9.79798	-8.78788	0
-9.79798	-7.87879	0
-9.79798	-7.57576	0
-9.79798	-7.27273	0
-9.59596	-7.87879	0
-9.59596	-7.57576	0
-9.59596	-7.27273	0
-9.59596	-4.24242	0
-9.59596	-3.63636	0
-9.59596	-3.33333	0
-9.39394	-10	0
-9.39394	-7.57576	0
-9.39394	-7.27273	0
-9.39394	-3.33333	0
-9.39394	-3.0303	0
-9.19192	-10	0
-9.19192	-9.69697	0
-9.19192	-9.39394	0
-9.19192	-6.66667	0
-9.19192	-3.33333	0
-9.19192	-3.0303	0
-9.19192	-2.72727	0
-8.9899	-10	0
-8.9899	-9.39394	0
-8.9899	-9.09091	0
-8.9899	-8.78788	0
-8.9899	-6.36364	0
-8.9899	-6.06061	0
-8.9899	-3.0303	0
-8.9899	-2.72727	0
-8.78788	-9.09091	0
-8.78788	-8.78788	0
-8.78788	-8.48485	0
-8.78788	-2.72727	0
-8.78788	-2.42424	0
-8.58586	-8.78788	0
-8.58586	-8.48485	0
-8.58586	-8.18182	0
-8.58586	-2.42424	0
-8.58586	-2.12121	0
-8.38384	-9.39394	0
-8.38384	-7.87879	0
-8.18182	-5.15152	0
-7.77778	-10	0
-7.77778	-8.78788	0
-7.77778	-6.66667	0
-7.57576	-10	0
-7.57576	-9.69697	0
-7.57576	-9.39394	0
-7.57576	-7.27273	0
-7.57576	-6.9697	0
-7.57576	-6.66667	0
-7.57576	-6.36364	0
-7.57576	-4.24242	0
-7.37374	-9.69697	0
-7.37374	-9.39394	0
-7.37374	-9.09091	0
-7.37374	-8.78788	0
-7.37374	-6.36364	0
-7.37374	-3.93939	0
-7.37374	-3.63636	0
-7.37374	-2.42424	0
-7.17172	-9.09091	0
-7.17172	-8.78788	0
-7.17172	-8.48485	0
-7.17172	-8.18182	0
-7.17172	-6.06061	0
-7.17172	-5.15152	0
-7.17172	-2.42424	0
-6.9697	-10	0
-6.9697	-9.69697	0
-6.9697	-8.48485	0
-6.9697	-8.18182	0
-6.9697	-7.87879	0
-6.9697	-7.57576	0
-6.9697	-5.15152	0
-6.9697	-4.84848	0
-6.9697	-2.12121	0
-6.76768	-9.39394	0
-6.76768	-9.09091	0
-6.76768	-7.57576	0
-6.76768	-7.27273	0
-6.76768	-6.9697	0
-6.76768	-4.54545	0
-6.56566	-8.48485	0
-6.56566	-8.18182	0
-6.56566	-7.27273	0
-6.36364	-7.87879	0
-6.36364	-7.27273	0
-6.36364	-6.9697	0
-6.36364	-3.63636	0
-6.36364	-3.33333	0
-6.16162	-7.57576	0
-6.16162	-7.27273	0
-6.16162	-6.9697	0
-6.16162	-6.66667	0
-6.16162	-2.72727	0
-6.16162	-0.30303	0
-5.9596	-6.66667	0
-5.9596	-2.42424	0
-5.75758	-4.84848	0
-5.75758	-2.12121	0
-5.55556	-1.81818	0
-5.35354	-9.09091	0
-5.15152	-8.78788	0
-5.15152	-8.48485	0
-5.15152	-7.27273	0
-4.94949	-10	0
-4.94949	-9.69697	0
-4.94949	-8.18182	0
-4.94949	-6.66667	0
-4.74747	-6.06061	0
-4.74747	-5.75758	0
-4.54545	-4.84848	0
-4.34343	-9.69697	0
-4.34343	-4.54545	0
-4.14141	-4.24242	0
-3.93939	-6.66667	0
-3.93939	-5.15152	0
-3.73737	-9.69697	0
-3.73737	-5.75758	0
-3.53535	-8.48485	0
-3.53535	-5.75758	0
-3.53535	-5.45455	0
-3.53535	-5.15152	0
3.93939	-2.72727	0
4.54545	-7.57576	0
4.74747	-8.18182	0
4.74747	0.606061	0
5.15152	-4.54545	0
5.15152	-0.30303	0
5.35354	-6.66667	0
5.35354	-5.15152	0
5.35354	-4.84848	0
5.55556	-6.06061	0
5.55556	-5.75758	0
5.55556	-5.45455	0
5.55556	-1.81818	0
5.75758	-9.69697	0
5.75758	-9.39394	0
5.75758	-6.66667	0
5.75758	-6.36364	0
5.75758	-6.06061	0
5.75758	-2.42424	0
5.9596	-7.27273	0
5.9596	-6.9697	0
5.9596	-6.66667	0
5.9596	-6.36364	0
5.9596	-3.0303	0
5.9596	-2.72727	0
6.16162	-8.18182	0
6.16162	-7.87879	0
6.16162	-7.57576	0
6.16162	-6.66667	0
6.16162	-3.33333	0
6.36364	-8.78788	0
6.36364	-8.48485	0
6.36364	-8.18182	0
6.36364	-5.45455	0
6.36364	-0.909091	0
6.56566	-9.39394	0
6.56566	-9.09091	0
6.56566	-8.78788	0
6.56566	-6.06061	0
6.56566	-3.93939	0
6.76768	-8.18182	0
6.76768	-7.87879	0
6.76768	-6.36364	0
6.76768	-6.06061	0
6.76768	-4.24242	0
6.76768	-3.93939	0
6.9697	-9.39394	0
6.9697	-9.09091	0
6.9697	-8.78788	0
6.9697	-8.48485	0
6.9697	-6.36364	0
6.9697	-4.54545	0
6.9697	-4.24242	0
7.17172	-9.39394	0
7.17172	-9.09091	0
7.17172	-7.27273	0
7.17172	-6.66667	0
7.17172	-5.45455	0
7.17172	-4.84848	0
7.37374	-10	0
7.37374	-9.69697	0
7.37374	-7.57576	0
7.37374	-7.27273	0
7.37374	-5.75758	0
7.37374	-5.45455	0
7.37374	-5.15152	0
7.37374	-4.84848	0
7.57576	-7.57576	0
7.57576	-6.06061	0
7.57576	-5.75758	0
7.57576	-5.45455	0
7.57576	-5.15152	0
7.77778	-9.09091	0
7.77778	-7.87879	0
7.77778	-7.57576	0
7.77778	-6.36364	0
7.77778	-6.06061	0
7.77778	-5.15152	0
7.77778	-4.54545	0
7.77778	-1.81818	0
7.9798	-9.39394	0
7.9798	-8.18182	0
7.9798	-7.87879	0
7.9798	-6.36364	0
7.9798	-5.45455	0
7.9798	-4.84848	0
7.9798	-4.54545	0
7.9798	-2.12121	0
8.18182	-9.69697	0
8.18182	-8.48485	0
8.18182	-6.66667	0
8.18182	-6.36364	0
8.18182	-6.06061	0
8.18182	-5.75758	0
8.18182	-4.84848	0
8.18182	-4.54545	0
8.38384	-8.78788	0
8.38384	-6.66667	0
8.38384	-5.15152	0
8.38384	-4.84848	0
8.58586	-9.09091	0
8.58586	-8.78788	0
8.58586	-8.48485	0
8.58586	-5.45455	0
8.58586	-5.15152	0
8.58586	-4.84848	0
