X	Z	Value
-10	-17.9798	15.6247
-10	-17.5758	33.9814
-10	-17.1717	10.9247
-10	-16.7677	6.45373
-10	-16.3636	13.6519
-10	-15.9596	7.96712
-10	-15.5556	12.8212
-10	-15.1515	5.03975
-10	-14.7475	15.5373
-10	-14.3434	9.88795
-10	-13.9394	11.7505
-10	-13.5354	8.2857
-10	-13.1313	48.7374
-10	-12.7273	15.5952
-10	-12.3232	1.18615
-10	-11.9192	8.54918
-10	-11.5152	10.8282
-10	-11.1111	25.9595
-10	-10.7071	0
-10	-10.303	11.3791
-10	-9.89899	24.2321
-10	-9.49495	7.0507
-10	-9.09091	1.18575
-10	-8.68687	7.1424
-10	-8.28283	12.4799
-10	-7.87879	18.6851
-10	-7.47475	8.80244
-10	-7.07071	4.22354
-10	-6.66667	2.19989
-10	-6.26263	33.5054
-10	-5.85859	0
-10	-5.45455	25.5378
-10	-5.05051	7.94028
-10	-4.64646	40.0814
-10	-4.24242	23.3144
-10	-3.83838	40.0726
-10	-3.43434	24.8725
-10	-3.0303	41.2047
-10	-2.62626	42.8204
-10	-2.22222	148.729
-10	-1.81818	111.947
-10	-1.41414	106.413
-10	-1.0101	222.564
-10	-0.606061	127.963
-10	-0.20202	126.532
-10	0.20202	147.86
-10	0.606061	158.444
-10	1.0101	166.485
-10	1.41414	157.774
-10	1.81818	164.039
-10	2.22222	56.4942
-10	2.62626	20.0626
-10	3.0303	30.0634
-10	3.43434	27.1744
-10	3.83838	28.4804
-10	4.24242	8.2661
-10	4.64646	14.4271
-10	5.05051	9.41573
-10	5.45455	8.55727
-10	5.85859	13.8515
-10	6.26263	14.9636
-10	6.66667	13.8332
-10	7.07071	21.4521
-10	7.47475	34.1998
-10	7.87879	13.3471
-10	8.28283	5.36067
-10	8.68687	1.20482
-10	9.09091	0.0299401
-10	9.49495	0
-10	9.89899	0
-10	10.303	8.75903
-10	10.7071	3.707
-10	11.1111	9.00864
-10	11.5152	10.1702
-10	11.9192	0
-10	12.3232	4.01569
-10	12.7273	13.0803
-10	13.1313	12.0461
-10	13.5354	4.81171
-10	13.9394	4.80853
-10	14.3434	0
-10	14.7475	2.39456
-10	15.1515	33.8586
-10	15.5556	4.15212
-10	15.9596	0
-10	16.3636	19.1068
-10	16.7677	19.9361
