Cor C	Value	Error
0.0	7.99265	0.0001
0.004	7.99628	0.0001
0.008	8.0002	0.0001
0.012	8.003	0.0001
0.016	8.00632	0.0001
0.02	8.00741	0.0001
0.024	8.00997	0.0001
0.028	8.2746	0.0001
0.032	8.28584	0.0001
0.036	8.28801	0.0001
0.04	8.4305	0.0001
0.044	8.59735	0.0001
0.048	8.5994	0.0001
0.052	8.60171	0.0001
0.056	8.6035	0.0001
0.06	8.60413	0.0001
0.064	8.75476	0.0001
0.068	8.94405	0.0001
0.072	8.94619	0.0001
0.076	9.07134	0.0001
0.08	9.2257	0.0001
0.084	9.22596	0.0001
0.088	9.23357	0.0001
0.092	9.23643	0.0001
0.096	9.36663	0.0001
0.1	9.64743	0.0001
0.104	9.64862	0.0001
0.108	9.82935	0.0001
0.112	9.89269	0.0001
0.116	9.91123	0.0001
0.12	9.92092	0.0001
0.124	10.1094	0.0001
0.128	10.3966	0.0001
0.132	10.4313	0.0001
0.136	10.607	0.0001
0.14	10.6358	0.0001
0.144	10.6625	0.0001
0.148	10.9258	0.0001
0.152	11.1855	0.0001
0.156	11.281	0.0001
0.16	11.4003	0.0001
0.164	11.4594	0.0001
0.168	11.7356	0.0001
0.172	12.0232	0.0001
0.176	12.1481	0.0001
0.18	12.2854	0.0001
0.184	12.4708	0.0001
0.188	12.8975	0.0001
0.192	13.0333	0.0001
0.196	13.2388	0.0001
0.2	13.5808	0.0001
0.204	13.8974	0.0001
0.208	14.1758	0.0001
0.212	14.5221	0.0001
0.216	14.9448	0.0001
0.22	15.3103	0.0001
0.224	15.7862	0.0001
0.228	16.2634	0.0001
0.232	16.8028	0.0001
0.236	17.4406	0.0001
0.24	18.1152	0.0001
0.244	18.924	0.0001
0.248	19.8431	0.0001
0.252	20.9335	0.0001
0.256	22.2764	0.0001
0.26	23.9505	0.0001
0.264	26.1754	0.0001
0.268	29.4381	0.0001
0.272	35.5998	0.0001
0.276	47.7452	0.0002
0.28	53.0732	0.0002
0.284	30.5066	0.0004
0.288	6.70256	0.0011
0.292	0.474084	0.0041
0.296	0.0100746	0.0277
0.3	4.57296e-05	0.4103
0.304	0.0	0.0
0.308	0.0	0.0
0.312	0.0	0.0
0.316	0.0	0.0
0.32	0.0	0.0
0.324	0.0	0.0
0.328	0.0	0.0
0.332	0.0	0.0
0.336	0.0	0.0
0.34	0.0	0.0
0.344	0.0	0.0
0.348	0.0	0.0
0.352	0.0	0.0
0.356	0.0	0.0
0.36	0.0	0.0
0.364	0.0	0.0
0.368	0.0	0.0
0.372	0.0	0.0
0.376	0.0	0.0
0.38	0.0	0.0
0.384	0.0	0.0
0.388	0.0	0.0
0.392	0.0	0.0
0.396	0.0	0.0
