Nuclide,State,Energy,Intensity
Be7,0,477.6035,172260.0
V49,0,0.477,15297.970444800001
V49,0,4.505,191873.61282262584
V49,0,4.511,378001.6013054094
V49,0,4.947,75508.46587196467
V49,0,4.947,75508.46587196467
Cr51,0,320.0824,36468.8
Cr51,0,0.536,2054.7764149462205
Cr51,0,4.945,24985.539869916356
Cr51,0,4.952,49155.10499688442
Cr51,0,5.444,9890.362025231225
Cr51,0,5.444,9890.362025231225
Mn52,0,200.58,207480.0
Mn52,0,346.02,2675400.0
Mn52,0,398.09,242970.0
Mn52,0,399.57,499590.0
Mn52,0,502.06,573300.0
Mn52,0,600.16,1064700.0
Mn52,0,647.47,1092000.0
Mn52,0,744.233,245700000.0
Mn52,0,848.18,9063600.0
Mn52,0,901.89,120120.0
Mn52,0,935.544,257985000.0
Mn52,0,1045.75,191100.00000000003
Mn52,0,1246.278,11493300.0
Mn52,0,1247.88,1037400.0
Mn52,0,1333.649,13841100.0
Mn52,0,1434.092,273000000.0
Mn52,0,1441.0,8190.0
Mn52,0,1645.82,128310.0
Mn52,0,1839.14,13650.0
Mn52,0,1981.12,92820.0
Mn52,0,2257.42,7371.0
Mn52,0,511.0,160530442.8
Mn52,0,0.597,1237716.6057411246
Mn52,0,5.406,14656894.26964097
Mn52,0,5.415,28789813.925831806
Mn52,0,5.966,5847926.923110634
Mn52,0,5.966,5847926.923110634
Mn54,0,834.848,5508677.6
Mn54,0,511.0,0.06281400000000001
Mn54,0,0.597,35602.751366920886
Mn54,0,5.406,421256.8924859613
Mn54,0,5.415,827454.1199881384
Mn54,0,5.966,168076.50227901383
Mn54,0,5.966,168076.50227901383
Fe55,0,126.0,0.007731200000000001
Fe55,0,0.66,39897.34684
Fe55,0,5.888,510131.29739528603
Fe55,0,5.899,1000453.6132482566
Fe55,0,6.512,205288.48935645746
Fe55,0,6.512,205288.48935645746
Co55,0,91.9,1.46475e-05
Co55,0,385.4,6.804e-06
Co55,0,411.5,1.35135e-05
Co55,0,477.2,0.000254205
Co55,0,520.0,1.0395e-05
Co55,0,803.7,2.3530499999999998e-05
Co55,0,827.0,2.6459999999999997e-06
Co55,0,931.1,0.000945
Co55,0,984.6,6.5205e-06
Co55,0,1212.8,3.3075e-06
Co55,0,1316.6,8.93025e-05
Co55,0,1370.0,3.67605e-05
Co55,0,1408.5,0.000212625
Co55,0,1556.0,5.7645e-07
Co55,0,1622.3,5.669999999999999e-07
Co55,0,1792.1,1.03005e-06
Co55,0,1940.6,1.7955e-07
Co55,0,2144.2,1.1339999999999999e-06
Co55,0,2177.6,3.6854999999999997e-06
Co55,0,2578.7,5.3865e-07
Co55,0,2872.4,1.48365e-06
Co55,0,2938.9,7.182e-07
Co55,0,3108.3,6.615000000000001e-08
Co55,0,511.0,0.0019125943200000001
Co55,0,0.728,2.532905804640519e-06
Co55,0,6.391,2.8689964905976923e-05
Co55,0,6.404,5.61777264655902e-05
Co55,0,7.082,1.1609900179630381e-05
Co55,0,7.082,1.1609900179630381e-05
Co56,0,263.434,129282.25463999998
Co56,0,411.145,141035.18688000002
Co56,0,486.55,317329.17048
Co56,0,655.003,252688.04316
Co56,0,674.57,141035.18688000002
Co56,0,733.514,1122405.02892
Co56,0,787.743,1827580.9633199999
Co56,0,846.77,587646612.0
Co56,0,852.732,287946.83988
Co56,0,896.51,428982.02676
Co56,0,977.372,8356334.822640001
Co56,0,996.948,652287.73932
Co56,0,1037.843,82623113.64719999
Co56,0,1088.894,323205.6366
Co56,0,1140.368,775693.52784
Co56,0,1159.944,552387.81528
Co56,0,1175.101,13239678.16836
Co56,0,1198.888,287946.83988
Co56,0,1238.288,390784996.97999996
Co56,0,1271.92,117529.32239999999
Co56,0,1335.4,719867.0997
Co56,0,1360.212,25186533.790319998
Co56,0,1442.746,1057763.9016
Co56,0,1462.322,434858.49288
Co56,0,1640.475,361990.312992
Co56,0,1771.357,90615107.5704
Co56,0,1810.757,3760938.3167999997
Co56,0,1963.741,4154661.54684
Co56,0,2015.215,17735174.75016
Co56,0,2034.791,45683647.61688
Co56,0,2113.135,2215427.72724
Co56,0,2212.944,2280068.85456
Co56,0,2276.131,693423.00216
Co56,0,2373.24,470117.28959999996
Co56,0,2523.09,346711.50108
Co56,0,2598.5,99782394.7176
Co56,0,2657.527,111652.85628
Co56,0,3009.645,6093895.36644
Co56,0,3202.029,18869332.71132
Co56,0,3253.503,46588623.39936
Co56,0,3273.079,11030126.90724
Co56,0,3369.86,59352.307812
Co56,0,3451.232,5582642.814
Co56,0,3548.05,1149436.7730720001
Co56,0,3600.8,98136.984204
Co56,0,3611.53,50537.608632
Co56,0,511.0,231742089.60000002
Co56,0,0.728,3941346.762628793
Co56,0,6.391,44601172.326960914
Co56,0,6.404,87333409.68662798
Co56,0,7.082,18048650.81945896
Co56,0,7.082,18048650.81945896
Co57,0,14.4129,533112.0
Co57,0,122.06065,4981920.0
Co57,0,136.47356,621576.0
Co57,0,230.4,23.28
Co57,0,339.69,215.34
Co57,0,352.33,174.6
Co57,0,366.8,69.83999999999999
Co57,0,570.09,919.5600000000001
Co57,0,692.41,8671.8
Co57,0,706.54,291.0
Co57,0,0.728,86472.4256992812
Co57,0,6.391,978171.7965503227
Co57,0,6.404,1915354.996182343
Co57,0,7.082,395834.46524582856
Co57,0,7.082,395834.46524582856
Co58,0,810.7593,10840050.0
Co58,0,863.951,74796.345
Co58,0,1674.725,56368.26
Co58,0,511.0,3248337.34
Co58,0,0.728,76874.97440559394
Co58,0,6.391,870593.5069001397
Co58,0,6.404,1704706.2990016444
Co58,0,7.082,352301.0134473641
Co58,0,7.082,352301.0134473641
Co60,0,347.14,0.8325
Co60,0,826.1,0.8436
Co60,0,1173.228,11083.349999999999
Co60,0,1332.492,11098.0686
Co60,0,2158.57,0.13319999999999999
Co60,0,2505.692,0.000222
Co60,0,0.874,0.0365476684935315
Co60,0,7.461,0.36715012719389456
Co60,0,7.478,0.716530302876462
Co60,0,8.296,0.1493311632636924
Co60,0,8.296,0.1493311632636924
Ni59,0,511.0,0.0042845999999999995
Ni59,0,0.8,56.44884436866345
Ni59,0,6.915,593.1651060262791
Ni59,0,6.93,1159.431403491554
Ni59,0,7.677,240.45624110584671
Ni59,0,7.677,240.45624110584671
Cu64,0,1345.77,1.57176e-11
Cu64,0,511.0,1.1648339999999998e-09
Cu64,0,0.874,1.6354322597783228e-11
Cu64,0,7.461,1.6306252165726149e-10
Cu64,0,7.478,3.1823286818357043e-10
Cu64,0,8.296,6.632250472006662e-11
Cu64,0,8.296,6.632250472006662e-11
Tc94,0,83.0,9.741249e-38
Tc94,0,449.2,6.560433e-37
Tc94,0,532.1,4.6718234999999995e-37
Tc94,0,702.67,1.98204597e-35
Tc94,0,742.3,2.4054921e-37
Tc94,0,849.74,1.90451358e-35
Tc94,0,871.05,1.98801e-35
Tc94,0,916.1,1.5108875999999998e-36
Tc94,0,1509.3,1.3518468e-37
Tc94,0,1592.1,4.4730225e-37
Tc94,0,1765.6,5.765229e-38
Tc94,0,511.0,4.188551999999999e-36
Tc94,0,2.44,6.785905335145295e-37
Tc94,0,17.374,3.403672815579388e-36
Tc94,0,17.479,6.486893111452999e-36
Tc94,0,19.681,1.7021372557267174e-36
Tc94,0,19.794,1.964266393108632e-36
Tc94,0,19.963,2.6212913738191446e-37
Tc95,0,125.8,9.659707199999999e-06
Tc95,0,126.03,2.4149267999999998e-06
Tc95,0,181.88,5.927547600000001e-07
Tc95,0,204.12,7.11305712e-05
Tc95,0,307.93,8.1229356e-06
Tc95,0,467.1,2.195388e-08
