Nuclide,State,Energy,Intensity
Be7,0,477.6035,335124.0
V49,0,0.477,15776.0320212
V49,0,4.505,197869.6632233329
V49,0,4.511,389814.15134620346
V49,0,4.947,77868.10543046358
V49,0,4.947,77868.10543046358
Cr51,0,320.0824,23189.4
Cr51,0,0.536,1306.5697855908033
Cr51,0,4.945,15887.54437380551
Cr51,0,4.952,31256.23524258412
Cr51,0,5.444,6288.980200826377
Cr51,0,5.444,6288.980200826377
Mn52,0,200.58,8436000.0
Mn52,0,346.02,108780000.0
Mn52,0,398.09,9879000.0
Mn52,0,399.57,20313000.0
Mn52,0,502.06,23310000.0
Mn52,0,600.16,43290000.0
Mn52,0,647.47,44400000.0
Mn52,0,744.233,9990000000.0
Mn52,0,848.18,368520000.0
Mn52,0,901.89,4884000.0
Mn52,0,935.544,10489500000.0
Mn52,0,1045.75,7770000.000000001
Mn52,0,1246.278,467310000.0
Mn52,0,1247.88,42180000.0
Mn52,0,1333.649,562770000.0
Mn52,0,1434.092,11100000000.0
Mn52,0,1441.0,333000.0
Mn52,0,1645.82,5217000.0
Mn52,0,1839.14,555000.0
Mn52,0,1981.12,3774000.0000000005
Mn52,0,2257.42,299700.0
Mn52,0,511.0,6527061960.0
Mn52,0,0.597,50324741.11255122
Mn52,0,5.406,595939657.1172702
Mn52,0,5.415,1170574851.929425
Mn52,0,5.966,237772852.91768515
Mn52,0,5.966,237772852.91768515
Mn54,0,834.848,6278492.8
Mn54,0,511.0,0.071592
Mn54,0,0.597,40578.090487162095
Mn54,0,5.406,480125.8230148525
Mn54,0,5.415,943087.4543603465
Mn54,0,5.966,191564.5071347018
Mn54,0,5.966,191564.5071347018
Fe55,0,126.0,0.0073984
Fe55,0,0.66,38179.91138
Fe55,0,5.888,488172.00313654856
Fe55,0,5.899,957387.7292342588
Fe55,0,6.512,196451.56762919272
Fe55,0,6.512,196451.56762919272
Fe59,0,142.651,495.72
Fe59,0,189.0,0.5346000000000001
Fe59,0,192.343,1496.88
Fe59,0,334.8,131.22
Fe59,0,382.0,8.748
Fe59,0,1099.245,27459.0
Fe59,0,1291.59,20995.2
Fe59,0,1481.7,28.674
Fe59,0,0.8,0.29075915097633603
Fe59,0,6.915,3.074070356745896
Fe59,0,6.93,6.008737992075726
Fe59,0,7.677,1.2461613054583303
Fe59,0,7.677,1.2461613054583303
Co55,0,91.9,32317500.000000004
Co55,0,385.4,15012000.000000002
Co55,0,411.5,29815500.0
Co55,0,477.2,560865000.0
Co55,0,520.0,22935000.0
Co55,0,803.7,51916500.0
Co55,0,827.0,5838000.0
Co55,0,931.1,2085000000.0
Co55,0,984.6,14386499.999999998
Co55,0,1212.8,7297500.0
Co55,0,1316.6,197032500.0
Co55,0,1370.0,81106500.0
Co55,0,1408.5,469125000.0
Co55,0,1556.0,1271850.0
Co55,0,1622.3,1251000.0
Co55,0,1792.1,2272650.0
Co55,0,1940.6,396150.0
Co55,0,2144.2,2502000.0
Co55,0,2177.6,8131499.999999999
Co55,0,2578.7,1188450.0
Co55,0,2872.4,3273450.0
Co55,0,2938.9,1584600.0
Co55,0,3108.3,145950.0
Co55,0,511.0,4219850960.0000005
Co55,0,0.728,5588474.711825907
Co55,0,6.391,63300081.30048876
Co55,0,6.404,123947682.20185775
Co55,0,7.082,25615494.047121
Co55,0,7.082,25615494.047121
Co56,0,263.434,166659.77724
Co56,0,411.145,181810.66608000002
Co56,0,486.55,409073.99867999996
Co56,0,655.003,325744.11006
Co56,0,674.57,181810.66608000002
Co56,0,733.514,1446909.88422
Co56,0,787.743,2355963.2146199998
Co56,0,846.77,757544442.0
Co56,0,852.732,371196.77658
Co56,0,896.51,553007.44266
Co56,0,977.372,10772281.96524
Co56,0,996.948,840874.33062
Co56,0,1037.843,106510748.54519999
Co56,0,1088.894,416649.44310000003
Co56,0,1140.368,999958.6634399999
Co56,0,1159.944,712091.77548
Co56,0,1175.101,17067476.27826
Co56,0,1198.888,371196.77658
Co56,0,1238.288,503767053.92999995
Co56,0,1271.92,151508.8884
Co56,0,1335.4,927991.94145
Co56,0,1360.212,32468354.784119997
Co56,0,1442.746,1363579.9956
Co56,0,1462.322,560582.8870799999
Co56,0,1640.475,466647.376272
Co56,0,1771.357,116813352.95639999
Co56,0,1810.757,4848284.4288
Co56,0,1963.741,5355839.20494
Co56,0,2015.215,22862691.25956
Co56,0,2034.791,58891504.92108
Co56,0,2113.135,2855942.54634
Co56,0,2212.944,2939272.43496
Co56,0,2276.131,893902.4415600001
Co56,0,2373.24,606035.5536
Co56,0,2523.09,446951.22078000003
Co56,0,2598.5,128631046.2516
Co56,0,2657.527,143933.44398
Co56,0,3009.645,7855735.86354
Co56,0,3202.029,24324752.03262
Co56,0,3253.503,60058123.361760005
Co56,0,3273.079,14219109.17634
Co56,0,3369.86,76511.988642
Co56,0,3451.232,7196672.199
Co56,0,3548.05,1481756.928552
Co56,0,3600.8,126509.92181399999
Co56,0,3611.53,65148.822012000004
Co56,0,511.0,298742353.6
Co56,0,0.728,5080851.7790350765
Co56,0,6.391,57496069.0881571
Co56,0,6.404,112582864.86813608
Co56,0,7.082,23266798.165220905
Co56,0,7.082,23266798.165220905
Co57,0,14.4129,623796.0
Co57,0,122.06065,5829360.0
Co57,0,136.47356,727308.0
Co57,0,230.4,27.240000000000002
Co57,0,339.69,251.97
Co57,0,352.33,204.3
Co57,0,366.8,81.72
Co57,0,570.09,1075.98
Co57,0,692.41,10146.9
Co57,0,706.54,340.5
Co57,0,0.728,101181.6527512208
Co57,0,6.391,1144561.84441713
Co57,0,6.404,2241162.8048112984
Co57,0,7.082,463167.13201444893
Co57,0,7.082,463167.13201444893
Co58,0,810.7593,13624650.0
Co58,0,863.951,94010.08499999999
Co58,0,1674.725,70848.18000000001
Co58,0,511.0,4082772.62
Co58,0,0.728,96622.67425290248
Co58,0,6.391,1094232.2059203591
Co58,0,6.404,2142612.5042497735
Co58,0,7.082,442800.3563512741
Co58,0,7.082,442800.3563512741
Co60,0,347.14,1.095
Co60,0,826.1,1.1096
Co60,0,1173.228,14578.099999999999
Co60,0,1332.492,14597.4596
Co60,0,2158.57,0.1752
Co60,0,2505.692,0.000292
Co60,0,0.874,0.048071708108609
Co60,0,7.461,0.48291818531809555
Co60,0,7.478,0.942463281260932
Co60,0,8.296,0.19641756609458638
Co60,0,8.296,0.19641756609458638
Ni57,0,127.164,236668.55999999997
Ni57,0,161.86,322.51892
Ni57,0,304.1,27.84336
Ni57,0,379.94,951.3148
Ni57,0,541.9,52.2063
Ni57,0,673.44,697.24414
Ni57,0,696.0,12.76154
Ni57,0,755.3,76.56924
Ni57,0,906.98,870.105
Ni57,0,1046.68,1902.6296
Ni57,0,1224.0,893.3078
Ni57,0,1279.99,136.89651999999998
Ni57,0,1350.52,27.84336
Ni57,0,1377.63,1160140.0
Ni57,0,1603.28,55.68672
Ni57,0,1730.44,742.4896
Ni57,0,1757.55,81673.856
Ni57,0,1897.42,394.4476
Ni57,0,1919.52,174021.0
Ni57,0,2133.04,406.049
Ni57,0,2730.91,281.91402
Ni57,0,2804.2,1392.1680000000001
Ni57,0,3177.28,157.77904
Ni57,0,511.0,1237785.6
Ni57,0,0.8,7861.349237701501
Ni57,0,6.915,82641.82887351386
Ni57,0,6.93,161536.0220357972
Ni57,0,7.677,33501.20114475748
Ni57,0,7.677,33501.20114475748
Ni59,0,511.0,0.0040922
Ni59,0,0.8,53.91400852482019
Ni59,0,6.915,566.5290218178452
Ni59,0,6.93,1107.3671263054048
Ni59,0,7.677,229.6585515225099
Ni59,0,7.677,229.6585515225099
Cu61,0,67.412,42800000.0
Cu61,0,117.5,107000.0
Cu61,0,190.79,52430.0
Cu61,0,215.55,139100.0
Cu61,0,276.688,278200.0
Cu61,0,282.956,135890000.0
Cu61,0,373.05,22898000.0
Cu61,0,443.5,39590.0
Cu61,0,529.169,3959000.0
Cu61,0,544.8,64200.0
Cu61,0,588.605,12519000.0
Cu61,0,625.605,470800.0
Cu61,0,629.9,663400.0
Cu61,0,656.008,111280000.0
Cu61,0,701.1,118770.0
Cu61,0,816.692,3744999.9999999995
Cu61,0,820.89,235400.0
Cu61,0,841.211,2568000.0
Cu61,0,902.294,930899.9999999999
Cu61,0,908.631,11663000.0
Cu61,0,947.4,29960.0
Cu61,0,1014.8,9630.0
Cu61,0,1032.162,588500.0
Cu61,0,1064.896,535000.0
Cu61,0,1073.465,449400.0
Cu61,0,1089.11,6419.999999999999
Cu61,0,1099.56,2889000.0
Cu61,0,1117.822,470800.0
Cu61,0,1132.351,973700.0
Cu61,0,1185.234,38520000.0
Cu61,0,1446.492,492200.0
Cu61,0,1542.204,353100.0
Cu61,0,1609.625,256800.0
Cu61,0,1662.0,545700.0
Cu61,0,1729.473,535000.0
Cu61,0,1840.7,18190.0
Cu61,0,1997.73,40660.0
Cu61,0,2120.0,101650.0
Cu61,0,2123.432,438700.0
Cu61,0,511.0,1314666200.0
Cu61,0,0.874,4708000.0
Cu61,0,7.461,47080000.00000001
Cu61,0,7.478,90950000.0
Cu61,0,8.296,18939000.0
