Cells	User	Value	Error
1	1001.0	0.0	0.0
1	1002.0	0.0	0.0
1	1003.0	0.0	0.0
1	2003.0	0.0	0.0
1	2004.0	0.0	0.0
1	2005.0	0.0	0.0
1	2006.0	0.0	0.0
1	2007.0	0.0	0.0
1	2008.0	0.0	0.0
1	3005.0	0.0	0.0
1	3006.0	0.0	0.0
1	3007.0	0.0	0.0
1	3008.0	0.0	0.0
1	3009.0	0.0	0.0
1	3010.0	0.0	0.0
1	3011.0	0.0	0.0
1	4006.0	0.0	0.0
1	4007.0	0.0	0.0
1	4008.0	0.0	0.0
1	4009.0	0.0	0.0
1	4010.0	0.0	0.0
1	4011.0	0.0	0.0
1	4012.0	0.0	0.0
1	4013.0	0.0	0.0
1	4014.0	0.0	0.0
1	5008.0	0.0	0.0
1	5009.0	0.0	0.0
1	5010.0	0.0	0.0
1	5011.0	0.0	0.0
1	5012.0	0.0	0.0
1	5013.0	0.0	0.0
1	5014.0	0.0	0.0
1	5015.0	0.0	0.0
1	5016.0	0.0	0.0
1	5017.0	0.0	0.0
1	6008.0	0.0	0.0
1	6009.0	0.0	0.0
1	6010.0	0.0	0.0
1	6011.0	0.0	0.0
1	6012.0	0.0	0.0
1	6013.0	0.0	0.0
1	6014.0	0.0	0.0
1	6015.0	0.0	0.0
1	6016.0	0.0	0.0
1	6017.0	0.0	0.0
1	6018.0	0.0	0.0
1	6019.0	0.0	0.0
1	6020.0	0.0	0.0
1	7011.0	0.0	0.0
1	7012.0	0.0	0.0
1	7013.0	0.0	0.0
1	7014.0	0.0	0.0
1	7015.0	0.0	0.0
1	7016.0	0.0	0.0
1	7017.0	0.0	0.0
1	7018.0	0.0	0.0
1	7019.0	0.0	0.0
1	7020.0	0.0	0.0
1	7021.0	0.0	0.0
1	7022.0	0.0	0.0
1	7023.0	0.0	0.0
1	8013.0	0.0	0.0
1	8014.0	0.0	0.0
1	8015.0	0.0	0.0
1	8016.0	0.0	0.0
1	8017.0	0.0	0.0
1	8018.0	0.0	0.0
1	8019.0	0.0	0.0
1	8020.0	0.0	0.0
1	8021.0	0.0	0.0
1	8022.0	0.0	0.0
1	8023.0	0.0	0.0
1	8024.0	0.0	0.0
1	9015.0	0.0	0.0
1	9016.0	0.0	0.0
1	9017.0	0.0	0.0
1	9018.0	0.0	0.0
1	9019.0	0.0	0.0
1	9020.0	0.0	0.0
1	9021.0	0.0	0.0
1	9022.0	0.0	0.0
1	9023.0	0.0	0.0
1	9024.0	0.0	0.0
1	9025.0	0.0	0.0
1	9026.0	0.0	0.0
1	9027.0	0.0	0.0
1	10017.0	0.0	0.0
1	10018.0	0.0	0.0
1	10019.0	0.0	0.0
1	10020.0	0.0	0.0
1	10021.0	0.0	0.0
1	10022.0	0.0	0.0
1	10023.0	0.0	0.0
1	10024.0	0.0	0.0
1	10025.0	0.0	0.0
1	10026.0	0.0	0.0
1	10027.0	0.0	0.0
1	10028.0	0.0	0.0
1	11019.0	0.0	0.0
1	11020.0	0.0	0.0
1	11021.0	0.0	0.0
1	11022.0	0.0	0.0
1	11023.0	0.0	0.0
1	11024.0	0.0	0.0
1	11025.0	0.0	0.0
1	11026.0	0.0	0.0
1	11027.0	0.0	0.0
1	11028.0	0.0	0.0
1	11029.0	0.0	0.0
1	11030.0	0.0	0.0
1	11031.0	0.0	0.0
1	11032.0	0.0	0.0
1	11033.0	0.0	0.0
1	11034.0	0.0	0.0
1	11035.0	0.0	0.0
1	12020.0	0.0	0.0
1	12021.0	0.0	0.0
1	12022.0	0.0	0.0
1	12023.0	0.0	0.0
1	12024.0	0.0	0.0
1	12025.0	0.0	0.0
1	12026.0	0.0	0.0
1	12027.0	0.0	0.0
1	12028.0	0.0	0.0
1	12029.0	0.0	0.0
1	12030.0	0.0	0.0
1	12031.0	0.0	0.0
1	12032.0	0.0	0.0
1	12033.0	0.0	0.0
1	12034.0	0.0	0.0
1	13022.0	0.0	0.0
1	13023.0	0.0	0.0
1	13024.0	0.0	0.0
1	13025.0	0.0	0.0
1	13026.0	0.0	0.0
1	13027.0	0.0	0.0
1	13028.0	0.0	0.0
1	13029.0	0.0	0.0
1	13030.0	0.0	0.0
1	13031.0	0.0	0.0
1	13032.0	0.0	0.0
1	13033.0	0.0	0.0
1	13034.0	0.0	0.0
1	13035.0	0.0	0.0
1	14024.0	0.0	0.0
1	14025.0	0.0	0.0
1	14026.0	0.0	0.0
1	14027.0	0.0	0.0
1	14028.0	0.0	0.0
1	14029.0	0.0	0.0
1	14030.0	0.0	0.0
