Nuclide,State,Energy,Intensity
Be7,0,477.6035,288144000.0
B8,0,511.0,4860000.0
C10,0,718.353,12200000000.0
C10,0,1021.646,178303000.0
C10,0,511.0,24390264400.0
C11,0,511.0,658461540000.0
C16,0,120.42,140.70000000000002
C16,0,276.85,14.700000000000001
C16,0,298.22,105.0
C16,0,397.27,6.3
N13,0,511.0,738546640000.0
N16,0,787.2,178.5
N16,0,867.7,12495.0
N16,0,986.93,202300.0
N16,0,1067.5,1785.0
N16,0,1754.9,7199500.0
N16,0,1954.7,2261000.0
N16,0,2741.5,48790000.0
N16,0,2822.2,7735000.0
N16,0,6128.63,3986500000.0
N16,0,6915.5,2261000.0
N16,0,7115.15,291550000.0
N16,0,8869.3,4522000.0
N17,0,870.732,29920500.0
N17,0,2184.49,3139200.0
N17,0,3843.3,68670.0
O14,0,1635.2,105040000.0
O14,0,2312.593,200763760000.0
O14,0,3947.5,4262200.0
O14,0,511.0,403507120000.0
O15,0,511.0,6933080820000.0
F18,0,511.0,6074644000.0
